compound,compound noun,compound noun_tag,neutral sentence,original sentence_tag,neutral sentence plural,neutral sentence plural_tag,entire neutral sentence,entire neutral sentence_tag,original modifier only,original modifier only_tag,original head only,original head only_tag,head only plural,head only plural_tag,modifier hypernym,modifier hypernym_tag,head hypernym,head hypernym_tag,synonym for compound,synonym for compound_tag,mwe synonym plural,mwe synonym plural_tag,modifier synonym,modifier synonym_tag,head synonym,head synonym_tag,head synonym plural,head synonym plural_tag,synonym both,synonym both_tag,both synonyms plural,both synonyms plural_tag,only mwe synonym,only mwe synonym_tag,nc rand freq sentence5,nc rand freq sentence5_tag,nc rand freq sentence1,nc rand freq sentence1_tag,nc rand sentence1,nc rand sentence1_tag,nc rand freq sentence2,nc rand freq sentence2_tag,nc rand sentence2,nc rand sentence2_tag,nc rand freq sentence3,nc rand freq sentence3_tag,nc rand sentence3,nc rand sentence3_tag,nc rand freq sentence4,nc rand freq sentence4_tag,nc rand sentence4,nc rand sentence4_tag,nc rand sentence5,nc rand sentence5_tag,compound noun head,compound noun head_tag,compound noun modifier,compound noun modifier_tag,only both synonyms,only both synonyms_tag
alto-falante,alto-falante,[True],Este é um alto-falante .,"[False, False, False, True, False]",Estes são altos-falantes .,"[False, False, True, False]",Este é um alto-falante . ,"[True, True, True, True, True]",Este é um alto .,"[False, False, False, True, False]",Este é um falante .,"[False, False, False, True, False]",Estes são falantes .,"[False, False, True, False]",Este é um falante normal .,"[False, False, False, True, True, False]",Este é um coiso alto .,"[False, False, False, True, True, False]",Esta é uma caixa de som .,"[False, False, False, True, True, True, False]",Estas são caixas de som .,"[False, False, True, True, True, False]",Este é um locutor alto .,"[False, False, False, True, True, False]",Este é um falante elevado .,"[False, False, False, True, True, False]",Estes são falantes elevados .,"[False, False, True, True, False]",Este é um elevado locutor .,"[False, False, False, True, True, False]",Estes são elevados locutores .,"[False, False, True, True, False]",caixa de som,"[True, True, True]",Este é um sexo explícito .,"[False, False, False, True, True, False]",Este é um lado barato .,"[False, False, False, True, True, False]",Este é um voto secreto .,"[False, False, False, True, True, False]",Este é um caráter anual .,"[False, False, False, True, True, False]",Este é um agente secreto .,"[False, False, False, True, True, False]",Este é um telefilme francês .,"[False, False, False, True, True, False]",Este é um sistema político .,"[False, False, False, True, True, False]",Este é um modelo editorial .,"[False, False, False, True, True, False]",Este é um café colonial .,"[False, False, False, True, True, False]",Este é um deputado federal .,"[False, False, False, True, True, False]",falante,[True],alto,[True],elevado locutor,"[True, True]"
amigo oculto,amigo oculto,"[True, True]",Este é um amigo oculto .,"[False, False, False, True, True, False]",Estes são amigos ocultos .,"[False, False, True, True, False]",Este é um amigo oculto . ,"[True, True, True, True, True, True]",Este é um oculto .,"[False, False, False, True, False]",Este é um amigo .,"[False, False, False, True, False]",Estes são amigos .,"[False, False, True, False]",Este é um amigo normal .,"[False, False, False, True, True, False]",Este é um coiso oculto .,"[False, False, False, True, True, False]",Este é um amigo secreto .,"[False, False, False, True, True, False]",Estes são amigos secretos .,"[False, False, True, True, False]",Este é um amigo escondido .,"[False, False, False, True, True, False]",Este é um companheiro oculto .,"[False, False, False, True, True, False]",Estes são companheiros ocultos .,"[False, False, True, True, False]",Este é um companheiro escondido .,"[False, False, False, True, True, False]",Estes são companheiros escondidos .,"[False, False, True, True, False]",amigo secreto,"[True, True]",Este é um compromisso futuro .,"[False, False, False, True, True, False]",Este é um diretor médico .,"[False, False, False, True, True, False]",Este é um olho nu .,"[False, False, False, True, True, False]",Este é um bolo financeiro .,"[False, False, False, True, True, False]",Este é um ar condicionado .,"[False, False, False, True, True, False]",Este é um tipo incrível .,"[False, False, False, True, True, False]",Este é um guarda-florestal .,"[False, False, False, True, False]",Este é um recorde russo .,"[False, False, False, True, True, False]",Este é um sangue azul .,"[False, False, False, True, True, False]",Este é um regime político .,"[False, False, False, True, True, False]",amigo,[True],oculto,[True],companheiro escondido,"[True, True]"
amigo secreto,amigo secreto,"[True, True]",Este é um amigo secreto .,"[False, False, False, True, True, False]",Estes são amigos secretos .,"[False, False, True, True, False]",Este é um amigo secreto . ,"[True, True, True, True, True, True]",Este é um secreto .,"[False, False, False, True, False]",Este é um amigo .,"[False, False, False, True, False]",Estes são amigos .,"[False, False, True, False]",Este é um amigo normal .,"[False, False, False, True, True, False]",Este é um coiso secreto .,"[False, False, False, True, True, False]",Este é um amigo oculto .,"[False, False, False, True, True, False]",Estes são amigos ocultos .,"[False, False, True, True, False]",Este é um amigo oculto .,"[False, False, False, True, True, False]",Este é um companheiro secreto .,"[False, False, False, True, True, False]",Estes são companheiros secretos .,"[False, False, True, True, False]",Este é um companheiro oculto .,"[False, False, False, True, True, False]",Estes são companheiros ocultos .,"[False, False, True, True, False]",amigo oculto,"[True, True]",Este é um inglês negro .,"[False, False, False, True, True, False]",Este é um ambiente autêntico .,"[False, False, False, True, True, False]",Este é um relógio analógico .,"[False, False, False, True, True, False]",Este é um campo escolar .,"[False, False, False, True, True, False]",Este é um caixeiro viajante .,"[False, False, False, True, True, False]",Este é um enorme penhasco .,"[False, False, False, True, True, False]",Este é um núcleo atômico .,"[False, False, False, True, True, False]",Este é um enorme javali .,"[False, False, False, True, True, False]",Este é um alto mar .,"[False, False, False, True, True, False]",Este é um sangue azul .,"[False, False, False, True, True, False]",amigo,[True],secreto,[True],companheiro oculto,"[True, True]"
amor-próprio,amor-próprio,[True],Este é um amor-próprio .,"[False, False, False, True, False]",Estes são amores-próprios .,"[False, False, True, False]",Este é um amor-próprio . ,"[True, True, True, True, True]",Este é um próprio .,"[False, False, False, True, False]",Este é um amor .,"[False, False, False, True, False]",Estes são amores .,"[False, False, True, False]",Este é um amor normal .,"[False, False, False, True, True, False]",Este é um coiso próprio .,"[False, False, False, True, True, False]",Esta é uma auto estima .,"[False, False, False, True, True, False]",Estas são auto estimas .,"[False, False, True, True, False]",Este é um amor pessoal .,"[False, False, False, True, True, False]",Este é um afeto próprio .,"[False, False, False, True, True, False]",Estes são afetos próprios .,"[False, False, True, True, False]",Este é um afeto pessoal .,"[False, False, False, True, True, False]",Estes são afetos pessoais .,"[False, False, True, True, False]",auto estima,"[True, True]",Este é um conselho editorial .,"[False, False, False, True, True, False]",Este é um artista principal .,"[False, False, False, True, True, False]",Este é um olho nu .,"[False, False, False, True, True, False]",Este é um voo comercial .,"[False, False, False, True, True, False]",Este é um café colonial .,"[False, False, False, True, True, False]",Este é um título profissional .,"[False, False, False, True, True, False]",Este é um centro espírita .,"[False, False, False, True, True, False]",Este é um uso intensivo .,"[False, False, False, True, True, False]",Este é um mau-olhado .,"[False, False, False, True, False]",Este é um trabalho braçal .,"[False, False, False, True, True, False]",amor,[True],próprio,[True],afeto pessoal,"[True, True]"
ano-novo,ano-novo,[True],Este é um ano-novo .,"[False, False, False, True, False]",Estes são anos-novos .,"[False, False, True, False]",Este é um ano-novo . ,"[True, True, True, True, True]",Este é um novo .,"[False, False, False, True, False]",Este é um ano .,"[False, False, False, True, False]",Estes são anos .,"[False, False, True, False]",Este é um ano normal .,"[False, False, False, True, True, False]",Este é um coiso novo .,"[False, False, False, True, True, False]",Este é um reveillon .,"[False, False, False, True, False]",Estes são reveillons .,"[False, False, True, False]",Este é um ano recente .,"[False, False, False, True, True, False]",Esta é uma nova data .,"[False, False, False, True, True, False]",Estas são novas datas .,"[False, False, True, True, False]",Esta é uma data recente .,"[False, False, False, True, True, False]",Estas são datas recentes .,"[False, False, True, True, False]",reveillon,[True],Este é um sistema imunitário .,"[False, False, False, True, True, False]",Este é um maior resultado .,"[False, False, False, True, True, False]",Este é um amigo secreto .,"[False, False, False, True, True, False]",Este é um título maior .,"[False, False, False, True, True, False]",Este é um bode expiatório .,"[False, False, False, True, True, False]",Este é um modelo maior .,"[False, False, False, True, True, False]",Este é um quadro-negro .,"[False, False, False, True, False]",Este é um país natal .,"[False, False, False, True, True, False]",Este é um círculo virtuoso .,"[False, False, False, True, True, False]",Este é um peso morto .,"[False, False, False, True, True, False]",ano,[True],novo,[True],data recente,"[True, True]"
ar condicionado,ar condicionado,"[True, True]",Este é um ar condicionado .,"[False, False, False, True, True, False]",Estes são ares condicionados .,"[False, False, True, True, False]",Este é um ar condicionado . ,"[True, True, True, True, True, True]",Este é um condicionado .,"[False, False, False, True, False]",Este é um ar .,"[False, False, False, True, False]",Estes são ares .,"[False, False, True, False]",Este é um ar normal .,"[False, False, False, True, True, False]",Este é um coiso condicionado .,"[False, False, False, True, True, False]",Este é um climatizador .,"[False, False, False, True, False]",Estes são climatizadores .,"[False, False, True, False]",Este é um ar dependente .,"[False, False, False, True, True, False]",Esta é uma brisa condicionada .,"[False, False, False, True, True, False]",Estas são brisas condicionadas .,"[False, False, True, True, False]",Esta é uma brisa dependente .,"[False, False, False, True, True, False]",Estas são brisas dependentes .,"[False, False, True, True, False]",climatizador,[True],Este é um famoso órgão .,"[False, False, False, True, True, False]",Este é um céu único .,"[False, False, False, True, True, False]",Este é um pé-direito .,"[False, False, False, True, False]",Este é um órgão institucional .,"[False, False, False, True, True, False]",Este é um trabalho braçal .,"[False, False, False, True, True, False]",Este é um preço habitual .,"[False, False, False, True, True, False]",Este é um curto-circuito .,"[False, False, False, True, False]",Este é um velho par .,"[False, False, False, True, True, False]",Este é um príncipe encantado .,"[False, False, False, True, True, False]",Este é um círculo vicioso .,"[False, False, False, True, True, False]",ar,[True],condicionado,[True],brisa dependente,"[True, True]"
ar livre,ar livre,"[True, True]",Este é um ar livre .,"[False, False, False, True, True, False]",Estes são ares livres .,"[False, False, True, True, False]",Este é um ar livre . ,"[True, True, True, True, True, True]",Este é um livre .,"[False, False, False, True, False]",Este é um ar .,"[False, False, False, True, False]",Estes são ares .,"[False, False, True, False]",Este é um ar normal .,"[False, False, False, True, True, False]",Este é um coiso livre .,"[False, False, False, True, True, False]",Este é um céu aberto .,"[False, False, False, True, True, False]",Estes são céus abertos .,"[False, False, True, True, False]",Este é um ar liberto .,"[False, False, False, True, True, False]",Esta é uma brisa livre .,"[False, False, False, True, True, False]",Estas são brisas livres .,"[False, False, True, True, False]",Esta é uma brisa liberta .,"[False, False, False, True, True, False]",Estas são brisas libertas .,"[False, False, True, True, False]",céu aberto,"[True, True]",Este é um sistema colonial .,"[False, False, False, True, True, False]",Este é um franciscano brasileiro .,"[False, False, False, True, True, False]",Este é um disco rígido .,"[False, False, False, True, True, False]",Este é um sistema universal .,"[False, False, False, True, True, False]",Este é um ar condicionado .,"[False, False, False, True, True, False]",Este é um fonográfico brasileiro .,"[False, False, False, True, True, False]",Este é um tiro livre .,"[False, False, False, True, True, False]",Este é um jantar social .,"[False, False, False, True, True, False]",Este é um livro aberto .,"[False, False, False, True, True, False]",Este é um amigo secreto .,"[False, False, False, True, True, False]",ar,[True],livre,[True],brisa liberta,"[True, True]"
arma branca,arma branca,"[True, True]",Esta é uma arma branca .,"[False, False, False, True, True, False]",Estas são armas brancas .,"[False, False, True, True, False]",Esta é uma arma branca . ,"[True, True, True, True, True, True]",Esta é uma branca .,"[False, False, False, True, False]",Esta é uma arma .,"[False, False, False, True, False]",Estas são armas .,"[False, False, True, False]",Esta é uma arma normal .,"[False, False, False, True, True, False]",Esta é uma coisa branca .,"[False, False, False, True, True, False]",Esta é uma faca .,"[False, False, False, True, False]",Estas são facas .,"[False, False, True, False]",Esta é uma arma alva .,"[False, False, False, True, True, False]",Esta é uma pistola branca .,"[False, False, False, True, True, False]",Estas são pistolas brancas .,"[False, False, True, True, False]",Esta é uma pistola alva .,"[False, False, False, True, True, False]",Estas são pistolas alvas .,"[False, False, True, True, False]",faca,[True],Estas são profundas dificuldades .,"[False, False, True, True, False]",Estas são associações possíveis .,"[False, False, True, True, False]",Estas são luas cheias .,"[False, False, True, True, False]",Estas são instalações específicas .,"[False, False, True, True, False]",Estas são redes sociais .,"[False, False, True, True, False]",Estas são alterações rítmicas .,"[False, False, True, True, False]",Estas são colunas sociais .,"[False, False, True, True, False]",Estas são regras aplicáveis .,"[False, False, True, True, False]",Estas são cordas vocais .,"[False, False, True, True, False]",Estas são carnes brancas .,"[False, False, True, True, False]",arma,[True],branca,[True],pistola alva,"[True, True]"
ato falho,ato falho,"[True, True]",Este é um ato falho .,"[False, False, False, True, True, False]",Estes são atos falhos .,"[False, False, True, True, False]",Este é um ato falho . ,"[True, True, True, True, True, True]",Este é um falho .,"[False, False, False, True, False]",Este é um ato .,"[False, False, False, True, False]",Estes são atos .,"[False, False, True, False]",Este é um ato normal .,"[False, False, False, True, True, False]",Este é um coiso falho .,"[False, False, False, True, True, False]",Este é um erro .,"[False, False, False, True, False]",Estes são erros .,"[False, False, True, False]",Este é um ato falhado .,"[False, False, False, True, True, False]",Esta é uma ação falha .,"[False, False, False, True, True, False]",Estas são ações falhas .,"[False, False, True, True, False]",Esta é uma ação falhada .,"[False, False, False, True, True, False]",Estas são ações falhadas .,"[False, False, True, True, False]",erro,[True],Estes são assuntos criminais .,"[False, False, True, True, False]",Estes são corpos ciclotômicos .,"[False, False, True, True, False]",Estes são vôos internacionais .,"[False, False, True, True, False]",Estes são corpos putrefactos .,"[False, False, True, True, False]",Estes são acampamentos militares .,"[False, False, True, True, False]",Estes são atletas internacionais .,"[False, False, True, True, False]",Estes são pastores alemães .,"[False, False, True, True, False]",Estes são atores econômicos .,"[False, False, True, True, False]",Estes são discos voadores .,"[False, False, True, True, False]",Estes são vôos domésticos .,"[False, False, True, True, False]",ato,[True],falho,[True],ação falhada,"[True, True]"
banho turco,banho turco,"[True, True]",Este é um banho turco .,"[False, False, False, True, True, False]",Estes são banhos turcos .,"[False, False, True, True, False]",Este é um banho turco . ,"[True, True, True, True, True, True]",Este é um turco .,"[False, False, False, True, False]",Este é um banho .,"[False, False, False, True, False]",Estes são banhos .,"[False, False, True, False]",Este é um banho normal .,"[False, False, False, True, True, False]",Este é um coiso turco .,"[False, False, False, True, True, False]",Esta é uma sauna .,"[False, False, False, True, False]",Estas são saunas .,"[False, False, True, False]",Este é um banho otomano .,"[False, False, False, True, True, False]",Este é um mergulho turco .,"[False, False, False, True, True, False]",Estes são mergulhos turcos .,"[False, False, True, True, False]",Este é um mergulho otomano .,"[False, False, False, True, True, False]",Estes são mergulhos otomanos .,"[False, False, True, True, False]",sauna,[True],Este é um turismo balnear .,"[False, False, False, True, True, False]",Este é um vasto historial .,"[False, False, False, True, True, False]",Este é um exame clínico .,"[False, False, False, True, True, False]",Este é um aparelho portátil .,"[False, False, False, True, True, False]",Este é um tiro livre .,"[False, False, False, True, True, False]",Este é um tenista nortenho .,"[False, False, False, True, True, False]",Este é um livro aberto .,"[False, False, False, True, True, False]",Este é um carvão mineral .,"[False, False, False, True, True, False]",Este é um mau-olhado .,"[False, False, False, True, False]",Este é um novo mundo .,"[False, False, False, True, True, False]",banho,[True],turco,[True],mergulho otomano,"[True, True]"
batata-doce,batata-doce,[True],Esta é uma batata-doce .,"[False, False, False, True, False]",Estas são batatas-doces .,"[False, False, True, False]",Esta é uma batata-doce . ,"[True, True, True, True, True]",Esta é uma doce .,"[False, False, False, True, False]",Esta é uma batata .,"[False, False, False, True, False]",Estas são batatas .,"[False, False, True, False]",Esta é uma batata normal .,"[False, False, False, True, True, False]",Esta é uma coisa doce .,"[False, False, False, True, True, False]",Esta é uma batata .,"[False, False, False, True, False]",Estas são batatas .,"[False, False, True, False]",Esta é uma batata açucarada .,"[False, False, False, True, True, False]",Este é um tubérculo doce .,"[False, False, False, True, True, False]",Estes são tubérculos doces .,"[False, False, True, True, False]",Este é um tubérculo açucarado .,"[False, False, False, True, True, False]",Estes são tubérculos açucarados .,"[False, False, True, True, False]",batata,[True],Esta é uma avaliação postural .,"[False, False, False, True, True, False]",Esta é uma resistência psíquica .,"[False, False, False, True, True, False]",Esta é uma sentença judicial .,"[False, False, False, True, True, False]",Esta é uma tendência homossexual .,"[False, False, False, True, True, False]",Esta é uma companhia aérea .,"[False, False, False, True, True, False]",Esta é uma gente diversa .,"[False, False, False, True, True, False]",Esta é uma secretária eletrônica .,"[False, False, False, True, True, False]",Esta é uma manifestação concreta .,"[False, False, False, True, True, False]",Esta é uma gripe suína .,"[False, False, False, True, True, False]",Esta é uma montanha-russa .,"[False, False, False, True, False]",batata,[True],doce,[True],tubérculo açucarado,"[True, True]"
bebida alcoólica,bebida alcoólica,"[True, True]",Esta é uma bebida alcoólica .,"[False, False, False, True, True, False]",Estas são bebidas alcoólicas .,"[False, False, True, True, False]",Esta é uma bebida alcoólica . ,"[True, True, True, True, True, True]",Esta é uma alcoólica .,"[False, False, False, True, False]",Esta é uma bebida .,"[False, False, False, True, False]",Estas são bebidas .,"[False, False, True, False]",Esta é uma bebida normal .,"[False, False, False, True, True, False]",Esta é uma coisa alcoólica .,"[False, False, False, True, True, False]",Este é um álcool .,"[False, False, False, True, False]",Estes são alcoóis .,"[False, False, True, False]",Esta é uma bebida etílica .,"[False, False, False, True, True, False]",Este é um líquido alcoólico .,"[False, False, False, True, True, False]",Estes são líquidos alcoólicos .,"[False, False, True, True, False]",Este é um líquido etílico .,"[False, False, False, True, True, False]",Estes são líquidos etílicos .,"[False, False, True, True, False]",álcool,[True],Esta é uma adesão firme .,"[False, False, False, True, True, False]",Esta é uma derrota persa .,"[False, False, False, True, True, False]",Esta é uma má-fé .,"[False, False, False, True, False]",Esta é uma utilização judiciosa .,"[False, False, False, True, True, False]",Esta é uma febre amarela .,"[False, False, False, True, True, False]",Esta é uma lesão celular .,"[False, False, False, True, True, False]",Esta é uma caixa-preta .,"[False, False, False, True, False]",Esta é uma cópia extra .,"[False, False, False, True, True, False]",Esta é uma cerca viva .,"[False, False, False, True, True, False]",Esta é uma terceira pessoa .,"[False, False, False, True, True, False]",bebida,[True],alcoólica,[True],líquido etílico,"[True, True]"
bode expiatório,bode expiatório,"[True, True]",Este é um bode expiatório .,"[False, False, False, True, True, False]",Estes são bodes expiatórios .,"[False, False, True, True, False]",Este é um bode expiatório . ,"[True, True, True, True, True, True]",Este é um expiatório .,"[False, False, False, True, False]",Este é um bode .,"[False, False, False, True, False]",Estes são bodes .,"[False, False, True, False]",Este é um bode normal .,"[False, False, False, True, True, False]",Este é um coiso expiatório .,"[False, False, False, True, True, False]",Esta é uma culpada .,"[False, False, False, True, False]",Estas são culpadas .,"[False, False, True, False]",Este é um bode remissório .,"[False, False, False, True, True, False]",Este é um mestiço expiatório .,"[False, False, False, True, True, False]",Estes são mestiços expiatórios .,"[False, False, True, True, False]",Este é um mestiço remissório .,"[False, False, False, True, True, False]",Estes são mestiços remissórios .,"[False, False, True, True, False]",culpada,[True],Este é um número mínimo .,"[False, False, False, True, True, False]",Este é um novo estádio .,"[False, False, False, True, True, False]",Este é um leite integral .,"[False, False, False, True, True, False]",Este é um suposto teste .,"[False, False, False, True, True, False]",Este é um agente secreto .,"[False, False, False, True, True, False]",Este é um ciclo mozartiano .,"[False, False, False, True, True, False]",Este é um sistema político .,"[False, False, False, True, True, False]",Este é um fato irrelevante .,"[False, False, False, True, True, False]",Este é um mau-humor .,"[False, False, False, True, False]",Este é um príncipe encantado .,"[False, False, False, True, True, False]",bode,[True],expiatório,[True],mestiço remissório,"[True, True]"
braço direito,braço direito,"[True, True]",Este é um braço direito .,"[False, False, False, True, True, False]",Estes são braços direitos .,"[False, False, True, True, False]",Este é um braço direito . ,"[True, True, True, True, True, True]",Este é um direito .,"[False, False, False, True, False]",Este é um braço .,"[False, False, False, True, False]",Estes são braços .,"[False, False, True, False]",Este é um braço normal .,"[False, False, False, True, True, False]",Este é um coiso direito .,"[False, False, False, True, True, False]",Este é um ajudante .,"[False, False, False, True, False]",Estes são ajudantes .,"[False, False, True, False]",Este é um braço destro .,"[False, False, False, True, True, False]",Este é um membro direito .,"[False, False, False, True, True, False]",Estes são membros direitos .,"[False, False, True, True, False]",Este é um membro destro .,"[False, False, False, True, True, False]",Estes são membros destros .,"[False, False, True, True, False]",ajudante,[True],Este é um tipógrafo português .,"[False, False, False, True, True, False]",Este é um eleito municipal .,"[False, False, False, True, True, False]",Este é um primeiro ministro .,"[False, False, False, True, True, False]",Este é um atirador profissional .,"[False, False, False, True, True, False]",Este é um vinho branco .,"[False, False, False, True, True, False]",Este é um ilustre homem .,"[False, False, False, True, True, False]",Este é um ar livre .,"[False, False, False, True, True, False]",Este é um suporte real .,"[False, False, False, True, True, False]",Este é um governo federal .,"[False, False, False, True, True, False]",Este é um paraíso fiscal .,"[False, False, False, True, True, False]",braço,[True],direito,[True],membro destro,"[True, True]"
buraco negro,buraco negro,"[True, True]",Este é um buraco negro .,"[False, False, False, True, True, False]",Estes são buracos negros .,"[False, False, True, True, False]",Este é um buraco negro . ,"[True, True, True, True, True, True]",Este é um negro .,"[False, False, False, True, False]",Este é um buraco .,"[False, False, False, True, False]",Estes são buracos .,"[False, False, True, False]",Este é um buraco normal .,"[False, False, False, True, True, False]",Este é um coiso negro .,"[False, False, False, True, True, False]",Este é um vortex .,"[False, False, False, True, False]",Estes são vortex .,"[False, False, True, False]",Este é um buraco preto .,"[False, False, False, True, True, False]",Este é um furo negro .,"[False, False, False, True, True, False]",Estes são furos negros .,"[False, False, True, True, False]",Este é um furo preto .,"[False, False, False, True, True, False]",Estes são furos pretos .,"[False, False, True, True, False]",vortex,[True],Estes são textos oficiais .,"[False, False, True, True, False]",Estes são meios terrestres .,"[False, False, True, True, False]",Estes são pastores alemães .,"[False, False, True, True, False]",Estes são inúmeros cidadãos .,"[False, False, True, True, False]",Estes são discos voadores .,"[False, False, True, True, False]",Estes são técnicos existentes .,"[False, False, True, True, False]",Estes são nós cegos .,"[False, False, True, True, False]",Estes são estudos históricos .,"[False, False, True, True, False]",Estes são pontos fortes .,"[False, False, True, True, False]",Estes são atos falhos .,"[False, False, True, True, False]",buraco,[True],negro,[True],furo preto,"[True, True]"
